Title,Score,Num_reviews,Age,Pages,Language,Price_tapa_dura,Price_tapa_blanda,Price_Kindle
Aprender a leer en la Escuela de Monstruos 9 - Torpón y bonachón: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.7,44.0,4 - 6 anos,48.0,,0.0,0.0,3.32
Harry Potter y la cámara secreta (Harry Potter [edición MinaLima] 2):,4.9,1193.0, 12 anos ou mais,400.0,,,,
Harry Potter y la cámara secreta,4.8,5833.0, 9 anos ou mais,361.0,,0.0,0.0,0.0
Invisible (Colección Cuentos para contar entre dos),4.8,126.0, 4 - 6 anos,48.0,,,,
Las aventuras de Dani y Evan. La isla de los pterosaurios (Jóvenes influencers),4.8,907.0, 5 - 7 anos,144.0,,12.54,0.0,6.64
Harry Potter y el cáliz de fuego,4.8,2957.0,8 - 12 anos,750.0,,0.0,0.0,0.0
Dinosaurios (Libro linterna),4.6,821.0, 4 - 6 anos,12.0,,0.0,12.54,0.0
La verdad sobre el caso Harry Quebert (Best Seller),4.4,11119.0, 13 anos ou mais,800.0,,,,
Dragon Ball Heroes Universe Big Bang Mission nº 01/03 (Manga Shonen),,,9 anos ou mais,200.0,,0.0,6.73,0.0
Resetea tu mente. Descubre de lo que eres capaz (F. COLECCION),4.5,869.0,1 ano ou mais,224.0,Español,0.0,0.0,10.44
1 Curiosidad por día - 366 curiosidades del mundo para leer en familia: Libro para niños y niñas a partir de 6 años que quieren aprender cada día algo nuevo y sorprendente sobre el mundo.,4.4,412.0, 6 - 9 anos,134.0,,,,
Los números pegatinas didácticas,4.7,24.0,3 anos ou mais,8.0,,0.0,1.88,0.0
Pocoyó. Vocales: Con divertidos relieves,4.7,272.0, 1 - 3 anos,12.0,,0.0,3.83,0.0
Tinc Un Volcà (Caleta),4.8,580.0, 3 - 5 anos,26.0,,0.0,0.0,7.59
Todo lo que sé sobre el amor (Novela),4.1,345.0,1 ano ou mais,384.0,Español,0.0,0.0,0.0
Anna Kadabra 6. Pasteles peligrosos,4.9,388.0, 7 - 9 anos,128.0,,,,
Actividades para mentes rápidas. 5 - 6 años (APRENDO EN CASA),4.7,280.0, 4 - 5 anos,56.0,Español,,,
Cómo enseñar a tu cocodrilo a lavarse los dientes (Castellano - A PARTIR DE 0 AÑOS - PROYECTO DE 0 A 3 AÑOS - Libros para desarrollar el lenguaje),4.7,536.0, 1 - 2 anos,18.0,Español,,,
Pokémon Súper Extra Delux Guía esencial definitiva (Colección Pokémon),4.7,1474.0, 6 - 9 anos,576.0,,,,
Pocoyó. Números: Con divertidos relieves,4.7,340.0, 1 - 2 anos,12.0,Español,,,
"El Rey del Oeste: (El Sendero del Guardabosques, Libro 7)",4.7,845.0,11 - 18 anos,641.0,,,,
Rescatadoras de Unicornios 1 - Viaje al país de las sirenas: Del universo de Unicornia (Montena),5.0,9.0,7 anos ou mais,144.0,Español,,,
Animales,4.8,22.0,3 - 5 anos,48.0,Español,,,
¿Y tú cómo duermes? (SIN COLECCION),4.5,76.0,3 - 6 anos,14.0,Español,,,
¡Que llega el lobo!: 1 (Luciérnaga),4.8,696.0,,0.0,,,,
Daniela pirata (ESPAÑOL EGALITE),4.8,463.0, 3 - 5 anos,44.0,Español,,,
"Los cazamisterios 1 - El caso de las mascotas desaparecidas: Secretos, risas y detectives... ¿te unes al club? (Serie Misterio)",4.8,91.0,7 - 9 anos,128.0,,,,
Cuentos de animalitos,4.6,181.0, 1 - 5 anos,96.0,Español,,,
"LA PANDILLA DEL CAPITÁN MONDONGO: EL RESCATE DE PUERQUÍN 1: Ficción - Narrativa ilustrada. Aventura, valores, humor 7 a 11 años",4.4,89.0,7 - 11 anos,99.0,,,,
Cumplo 2 Años! (PICARONA),4.6,950.0, 2 anos ou mais,16.0,Español,,,
Mis 500 pegatinas. Me visto,4.6,36.0,3 - 5 anos,32.0,Inglés,,,
Haikyû!! nº 20 (Manga Shonen),,,8 anos ou mais,192.0,Español,,,
"I SPEAK ENGLISH! LIBRO PREESCOLAR MAXI: 110 páginas para aprender inglés. Alfabeto, números, formas, colores, palabras, juegos y muchas páginas para colorear. Para niños de 4 a 7 años",4.9,30.0,,0.0,Español,,,
Cómic Los Futbolísimos 1: El misterio de los árbitros voladores,4.5,32.0,6 - 12 anos,48.0,Español,,,
"YO CREO EN TI: Cuentos Ilustrados para Niños Fantásticos que Inspiran Valor, Confianza, Autoestima y Amor. ¡Descubre lo Único y Especial que Eres!",4.2,101.0, 4 - 9 anos,114.0,Español,,,
¡VACACIONES! Libro Preescolar para Niños 3-6 Años: Cuaderno de Vacaciones de Verano - 170 páginas con actividades y juegos educativos para aprender y divertirse,4.6,109.0, 3 - 5 anos,170.0,Español,,,
Monstruo Rosa: 1 (Premio Apila Primera Impresión),4.8,1196.0, 3 - 4 anos,36.0,Español,,,
