,Palavra,frequência
1902,sábado,308
11867,base,307
297,papéis,307
12813,judeu,307
4699,falando,307
1240,acontece,306
5216,dão,306
1886,lho,306
4064,fugir,306
25991,silva,306
8203,edição,306
16,1994,306
10619,fevereiro,305
7428,novembro,305
1033,olhando,305
4736,contas,304
4374,ó,304
2492,olha,304
26550,associação,304
2833,igualmente,303
6395,paris,303
4214,últimas,303
35871,cultura,303
2786,lembrar,303
4968,apoio,303
32282,paulista,303
15765,the,303
2780,nariz,302
3340,à,302
18232,econômica,302
4739,pura,302
7189,chefe,301
5023,responder,299
3212,caro,299
206,sentir,299
1912,parou,299
28666,jogadores,299
4972,informações,299
1161,tornar,299
18354,argentina,299
692,interrompeu,299
530,sonhos,298
56423,guiomar,298
68023,computador,297
1900,deixe,297
2612,sério,296
10068,francisco,296
1694,cem,296
6843,metade,295
1365,ponta,295
14603,máquina,295
11242,juros,295
3610,virtude,294
1066,césar,294
595,municipal,294
2516,costumes,294
1090,acabava,293
8751,menino,293
5924,haverá,293
3526,correr,293
1710,perdido,292
38128,pt,292
3956,nove,292
886,amizade,292
4521,baixa,292
4923,fechou,292
691,perdão,292
8013,conseguiu,291
6354,origem,291
323,cavalos,291
1149,).,291
1518,continuar,290
1197,meios,290
10617,garcia,290
6897,bancos,290
4609,comendador,290
42166,60,289
4882,fazê,289
2211,nobre,289
62696,lethierry,289
33513,zona,289
1083,títulos,289
3422,inteiramente,288
10272,leis,288
8650,crise,288
7724,eleitoral,288
34829,tel,287
4417,querem,287
1463,40,287
1614,almas,287
1111,loja,287
4742,pude,287
6608,mesmas,286
2203,continua,285
2280,dama,285
947,entrevista,285
51645,brasília,285
4626,políticas,285
1082,diferentes,284
2015,conheço,284
1664,pedia,284
3995,11,284
6134,águas,284
2495,sou,284
209,mocidade,283
2274,gênero,283
6367,indústria,283
653,serem,283
3312,juntos,283
29,preto,283
8782,carros,283
873,senhoras,282
6394,londres,282
10669,24,282
4586,quarenta,282
3654,retrato,282
570,recente,282
1946,dera,281
1106,ouvidor,281
129,chá,281
17590,sucesso,281
46682,bilhões,280
793,verde,280
2449,má,280
4642,batista,280
6958,humano,280
2291,sinto,280
1063,chamava,279
63,obrigado,279
3731,passagem,279
2361,passeio,279
498,pareciam,279
4661,gomes,278
6026,américa,278
1038,unidos,278
1268,verso,278
22858,elisa,278
2296,nasceu,277
169,formas,277
12961,6,277
11627,atos,277
4550,acerca,277
3887,às,276
9484,produto,276
2806,afeição,276
2471,emprego,276
717,singular,276
3351,sabes,275
10572,8,275
1897,termos,275
7139,ferro,275
21,índice,275
4496,feitas,275
10492,eleições,275
9409,senado,275
1169,conhece,275
3247,cheia,275
14813,jogos,274
3224,subir,274
10486,raquel,274
5439,li,273
5559,notas,273
3592,leve,272
1007,armas,272
9405,senador,272
3402,fiquei,272
17490,york,272
2328,vivia,272
2548,sobrinho,271
1719,adiante,271
4568,noivo,271
3110,partes,271
2348,trabalhar,271
8964,pernas,271
26799,aguiar,270
10644,18,270
1920,aberta,270
3269,costas,270
2263,poetas,270
1873,primo,270
2456,venha,269
